NIM,Nama,Password,Hadir,Izin,Sakit,Alpha,Persentase_Hadir
2310001,Andi Pratama,pass1,16,0,0,0,100.0
2310002,Budi Santoso,pass2,15,1,0,0,93.75
2310003,Citra Lestari,pass3,14,1,1,0,87.5
2310004,Dina Maharani,pass4,13,2,0,1,81.25
2310005,Eka Saputra,pass5,12,1,2,1,75.0
2310006,Fajar Ramadhan,pass6,16,0,0,0,100.0
2310007,Gita Ananda,pass7,11,2,1,2,68.75
2310008,Hani Putri,pass8,14,0,1,1,87.5
2310009,Iwan Kurnia,pass9,10,3,1,2,62.5
2310010,Joko Wijaya,pass10,15,1,0,0,93.75
2310011,Karin Amelia,pass11,16,0,0,0,100.0
2310012,Lina Marlina,pass12,15,1,0,0,93.75
2310013,Maya Sari,pass13,14,1,1,0,87.5
2310014,Nanda Putra,pass14,13,2,0,1,81.25
2310015,Oki Ramadhan,pass15,12,1,2,1,75.0
2310016,Putri Ayu,pass16,16,0,0,0,100.0
2310017,Raka Pratama,pass17,11,2,1,2,68.75
2310018,Sinta Dewi,pass18,14,0,1,1,87.5
2310019,Tio Saputra,pass19,10,3,1,2,62.5
2310020,Vina Lestari,pass20,15,1,0,0,93.75
2310021,Agus Setiawan,pass21,16,0,0,0,100.0
2310022,Bella Putri,pass22,15,1,0,0,93.75
2310023,Dimas Arya,pass23,14,1,1,0,87.5
2310024,Evi Rahma,pass24,13,2,0,1,81.25
2310025,Farhan Akbar,pass25,12,1,2,1,75.0
2310026,Gina Lestari,pass26,16,0,0,0,100.0
2310027,Hendra Wijaya,pass27,11,2,1,2,68.75
2310028,Indah Permata,pass28,14,0,1,1,87.5
2310029,Jihan Aulia,pass29,10,3,1,2,62.5
2310030,Kevin Pratama,pass30,15,1,0,0,93.75
2310031,Lukman Hakim,pass31,16,0,0,0,100.0
2310032,Mila Anggraini,pass32,15,1,0,0,93.75
2310033,Niko Saputra,pass33,14,1,1,0,87.5
2310034,Ocha Putri,pass34,13,2,0,1,81.25
2310035,Pandu Wijaya,pass35,12,1,2,1,75.0
2310036,Qori Ananda,pass36,16,0,0,0,100.0
2310037,Rina Amelia,pass37,11,2,1,2,68.75
2310038,Sandi Kurnia,pass38,14,0,1,1,87.5
2310039,Tasya Putri,pass39,10,3,1,2,62.5
2310040,Umar Farhan,pass40,15,1,0,0,93.75
2310041,Vito Ramadhan,pass41,16,0,0,0,100.0
2310042,Wulan Sari,pass42,15,1,0,0,93.75
2310043,Yoga Pratama,pass43,14,1,1,0,87.5
2310044,Zahra Aulia,pass44,13,2,0,1,81.25
2310045,Aldi Saputra,pass45,12,1,2,1,75.0
2310046,Bima Arya,pass46,16,0,0,0,100.0
2310047,Caca Lestari,pass47,11,2,1,2,68.75
2310048,Daffa Putra,pass48,14,0,1,1,87.5
2310049,Elsa Maharani,pass49,10,3,1,2,62.5
2310050,Fikri Ramadhan,pass50,15,1,0,0,93.75
